QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 150
MaxTime: 2000
EnvMutationRate: 0.2
QtdSensors: 3
EnableSensor: 0.7

Environment 0	 h: 4	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -1432.13 	mf: -1432.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.61 	gb1: 0.78 	gb2: 0.68 	gb3: 1.01 	gb4: 3.87 	gb5: 3.39
			Robot 1 	f: -949.68 	mf: -949.00 	ga0: 1.00 	ga1: 8.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.12 	gb1: 0.59 	gb2: 0.35 	gb3: 2.90 	gb4: 3.31 	gb5: 2.85
			Robot 2 	f: 672.67 	mf: 672.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -2379.93 	mf: -2379.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.46 	gb1: 0.40 	gb2: 0.50 	gb3: 1.89 	gb4: 2.96 	gb5: 2.21
			Robot 4 	f: -1342.81 	mf: -1342.00 	ga0: 1.00 	ga1: 7.07 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.54 	gb1: 0.40 	gb2: 0.53 	gb3: 2.97 	gb4: 4.27 	gb5: 3.32
			Robot 5 	f: -860.51 	mf: -860.00 	ga0: 1.00 	ga1: 9.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.12 	gb0: 0.55 	gb1: 0.53 	gb2: 0.27 	gb3: 2.86 	gb4: 4.24 	gb5: 3.55
			Robot 6 	f: -2134.59 	mf: -2134.00 	ga0: 1.00 	ga1: 8.10 	ga2: 0.00 	ga3: 0.14 	ga4: 0.00 	gb0: 0.57 	gb1: 0.70 	gb2: 0.32 	gb3: 0.91 	gb4: 2.12 	gb5: 3.17
			Robot 7 	f: -618.28 	mf: -618.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.60 	gb1: 0.32 	gb2: 0.57 	gb3: 2.81 	gb4: 3.91 	gb5: 3.94
			Robot 8 	f: 400.65 	mf: 400.00 	ga0: 1.00 	ga1: 8.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.55 	gb1: 0.46 	gb2: 0.60 	gb3: 2.99 	gb4: 3.60 	gb5: 3.09
			Robot 9 	f: -400.11 	mf: -400.00 	ga0: 0.50 	ga1: 8.47 	ga2: 0.00 	ga3: 0.46 	ga4: 0.40 	gb0: 0.23 	gb1: 0.87 	gb2: 0.28 	gb3: 3.03 	gb4: 4.18 	gb5: 2.62
			Robot 10 	f: -568.39 	mf: -568.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.46 	ga3: 0.04 	ga4: 0.00 	gb0: 0.16 	gb1: 0.79 	gb2: 0.60 	gb3: 1.92 	gb4: 3.90 	gb5: 1.99
