QtdRobots: 20
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 200
MaxTime: 20000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -9850.60 	mf: -9850.00 	ga0: 1.00 	ga1: 5.88 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.41 	gb1: 0.44 	gb2: 0.55 	gb3: 2.69 	gb4: 1.54 	gb5: 4.50
			Robot 1 	f: -8196.35 	mf: -8196.00 	ga0: 1.00 	ga1: 5.79 	ga2: 0.46 	ga3: 0.00 	ga4: 0.00 	gb0: 0.35 	gb1: 0.49 	gb2: 0.81 	gb3: 1.78 	gb4: 1.14 	gb5: 2.82
			Robot 2 	f: -16671.35 	mf: -16671.00 	ga0: 1.00 	ga1: 6.08 	ga2: 0.20 	ga3: 0.06 	ga4: 0.00 	gb0: 0.75 	gb1: 0.25 	gb2: 0.39 	gb3: 2.72 	gb4: 2.19 	gb5: 1.76
			Robot 3 	f: -11832.78 	mf: -11832.00 	ga0: 1.00 	ga1: 5.24 	ga2: 0.12 	ga3: 0.00 	ga4: 0.13 	gb0: 0.68 	gb1: 0.62 	gb2: 0.52 	gb3: 2.10 	gb4: 1.61 	gb5: 3.37
			Robot 4 	f: -10824.22 	mf: -10824.00 	ga0: 1.00 	ga1: 3.57 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.55 	gb1: 0.21 	gb2: 0.63 	gb3: 1.42 	gb4: 3.51 	gb5: 3.80
			Robot 5 	f: -12049.33 	mf: -12049.00 	ga0: 0.50 	ga1: 4.17 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.79 	gb1: 0.18 	gb2: 0.73 	gb3: 2.44 	gb4: 3.09 	gb5: 2.89
			Robot 6 	f: -12135.68 	mf: -12135.00 	ga0: 1.00 	ga1: 4.29 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.58 	gb1: 0.64 	gb2: 0.57 	gb3: 3.07 	gb4: 2.40 	gb5: 2.21
			Robot 7 	f: -10317.45 	mf: -10317.00 	ga0: 1.00 	ga1: 3.96 	ga2: 0.00 	ga3: 0.32 	ga4: 0.00 	gb0: 0.66 	gb1: 0.26 	gb2: 0.73 	gb3: 2.10 	gb4: 2.37 	gb5: 2.57
			Robot 8 	f: -13705.32 	mf: -13705.00 	ga0: 1.00 	ga1: 5.16 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.39 	gb1: 0.22 	gb2: 0.46 	gb3: 1.28 	gb4: 0.72 	gb5: 1.97
			Robot 9 	f: -19285.16 	mf: -19285.00 	ga0: 1.00 	ga1: 4.44 	ga2: 0.00 	ga3: 0.09 	ga4: 0.19 	gb0: 0.32 	gb1: 0.09 	gb2: 0.45 	gb3: 1.01 	gb4: 1.08 	gb5: 3.57
			Robot 10 	f: -12692.30 	mf: -12692.00 	ga0: 0.50 	ga1: 6.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.55 	gb1: 0.12 	gb2: 0.79 	gb3: 2.19 	gb4: 1.54 	gb5: 1.86
